Name,Quantity,Unit Cost (INR) (without tax),Cost (INR) (without tax),USD ( without tax ),Link
ESP32,1,425,425,4.521276596,https://robocraze.com/products/esp32-development-board?variant=40193649803417&country=IN&currency=INR&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic
DRV8833,1,68,68,0.7234042553,https://robu.in/product/drv8833-2-channel-dc-motor-driver-module/
18650 Lipo Battery,2,129,258,2.744680851,https://robocraze.com/products/3-7v-2600mah-18650-battery?variant=44016380608736&country=IN&currency=INR&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic
Buck Converter,1,40,40,0.4255319149,https://robocraze.com/products/lm2596-mini-360-power-supply-step-down-module?variant=40194415001753&country=IN&currency=INR&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic
3D Parts,1,0,0,0,https://india.numakers.com/products/pla-filament?variant=44123925676201
DC motor,2,13,26,0.2765957447,https://techdelivers.com/DC-Toy-Motor-3V-to-6V?tag=dc%20motor&page=2&srsltid=AfmBOor6aeYkCUbBVScqor4o1lOvhRu8faGlCQlP2bLwmbDeZx9h1wmVd6Q
N20 motor,1,230,230,2.446808511,https://robu.in/product/n20-6v-100-rpm-micro-metal-gear-box-dc-motor-2/?gad_source=1&gad_campaignid=20381096599&gbraid=0AAAAADvLFWch0PesuAb9iWj827Hq7W-7w&gclid=CjwKCAjwhZDUBhBGEiwAbi5bjjvumNUKqWxTaJqZckGxCNNXuNBabmk1-ad7Vboq0HyKRBCcUiMP7RoCyMsQAvD_BwE
Total,,,1047,11.13829787,
